date,1. open,2. high,3. low,4. close,5. volume
2020-04-29,190.93,196.91,190.0,194.19,45954521.0
2020-04-30,206.92,209.69,201.5701,204.71,46230116.0
2020-05-01,201.6,207.28,199.0501,202.27,30415581.0
2020-05-04,200.2,205.91,198.7562,205.26,19250673.0
2020-05-05,207.02,210.38,206.5,207.07,21071223.0
2020-05-06,208.12,211.6,206.66,208.47,21856963.0
2020-05-07,211.16,211.6,209.04,211.26,15151976.0
2020-05-08,212.24,213.21,210.85,212.35,12524048.0
2020-05-11,210.8865,215.0,210.37,213.18,12911948.0
2020-05-12,213.29,215.275,210.0,210.1,14704647.0
2020-05-13,209.43,210.78,202.11,205.1,20684559.0
2020-05-14,202.56,206.93,200.69,206.81,17178947.0
2020-05-15,205.27,211.34,204.12,210.88,19383154.0
2020-05-18,212.15,214.6445,210.94,213.19,20167443.0
2020-05-19,213.27,220.49,212.83,216.88,31843152.0
2020-05-20,223.5,231.34,223.19,229.97,50162875.0
2020-05-21,234.72,237.2,231.2,231.39,47577915.0
2020-05-22,231.51,235.99,228.74,234.91,33925564.0
2020-05-26,239.77,240.9,231.67,232.2,33178318.0
2020-05-27,229.07,230.56,221.1347,229.14,34697553.0
2020-05-28,224.3,231.6332,224.0,225.46,29423013.0
2020-05-29,225.2,227.49,222.88,225.09,23322476.0
2020-06-01,224.59,232.44,223.5,231.91,18223839.0
2020-06-02,230.94,233.0,226.56,232.72,20919018.0
2020-06-03,232.11,232.65,228.53,230.16,15380282.0
2020-06-04,229.56,231.63,224.61,226.29,17041481.0
2020-06-05,226.71,231.35,225.3105,230.77,16750438.0
2020-06-08,229.03,231.55,227.41,231.4,15466499.0
2020-06-09,231.52,239.77,230.41,238.67,27462872.0
2020-06-10,240.96,241.21,235.28,236.73,20720709.0
2020-06-11,229.94,232.89,223.55,224.43,26708163.0
2020-06-12,229.9,231.66,224.5,228.58,22091387.0
2020-06-15,225.09,233.77,224.8,232.5,15340264.0
2020-06-16,237.14,238.46,233.0,235.65,15236691.0
2020-06-17,235.0,237.59,231.7268,235.53,19578125.0
2020-06-18,234.99,236.14,232.15,235.94,15782452.0
2020-06-19,237.79,240.83,235.55,238.79,30081291.0
2020-06-22,238.56,240.7,236.91,239.22,18917782.0
2020-06-23,241.28,245.1853,239.86,242.24,24017915.0
2020-06-24,241.2,243.22,232.68,234.02,20834904.0
2020-06-25,234.62,237.3,232.74,235.68,18704339.0
2020-06-26,232.64,233.09,215.4,216.08,76343939.0
2020-06-29,209.75,220.75,207.11,220.64,58514281.0
2020-06-30,220.59,227.5,218.47,227.07,33927068.0
2020-07-01,228.5,239.0,227.56,237.55,43403869.0
2020-07-02,239.0,240.0,232.61,233.42,30635970.0
2020-07-06,233.76,240.4,232.27,240.28,26208488.0
2020-07-07,239.41,247.65,238.82,240.86,27887936.0
2020-07-08,238.11,246.99,236.59,243.58,29793184.0
2020-07-09,245.0,246.53,239.24,244.5,22175054.0
2020-07-10,243.69,245.49,239.32,245.07,22982716.0
