date,1. open,2. high,3. low,4. close,5. volume
2020-04-29,59.44,62.03,59.32,61.8,30451500.0
2020-04-30,61.37,61.54,59.75,59.98,26279900.0
2020-05-01,58.83,59.32,57.31,57.47,21194800.0
2020-05-04,57.12,58.07,56.31,57.99,18957200.0
2020-05-05,58.79,59.3,58.35,58.75,17252100.0
2020-05-06,59.04,59.95,58.94,59.18,17848700.0
2020-05-07,59.93,60.1,58.92,59.17,14733500.0
2020-05-08,59.67,59.78,59.05,59.67,20391100.0
2020-05-11,59.74,60.84,59.71,60.13,18684400.0
2020-05-12,60.22,60.64,58.26,58.39,16754900.0
2020-05-13,58.45,59.23,56.9,57.74,21065000.0
2020-05-14,57.32,59.15,56.1,59.08,21569400.0
2020-05-15,57.4,58.37,56.96,58.28,21373300.0
2020-05-18,59.74,60.28,59.36,59.92,20443700.0
2020-05-19,60.13,61.77,59.85,60.29,21865000.0
2020-05-20,61.16,63.49,61.02,63.1,30584000.0
2020-05-21,63.1,63.8,61.82,61.98,20987700.0
2020-05-22,61.98,62.32,61.42,62.26,14103000.0
2020-05-26,63.68,64.14,62.12,62.34,20933600.0
2020-05-27,62.32,63.59,61.07,63.56,19886300.0
2020-05-28,63.0,63.45,61.49,61.7,17253500.0
2020-05-29,61.9,63.66,61.62,62.93,33395700.0
2020-06-01,62.49,62.66,61.66,61.86,14317700.0
2020-06-02,61.7,62.17,60.83,62.12,20702400.0
2020-06-03,62.45,62.54,61.53,61.93,16737300.0
2020-06-04,61.74,63.47,61.34,62.97,22010100.0
2020-06-05,63.36,65.11,63.16,64.34,26813100.0
2020-06-08,63.97,64.15,62.94,63.67,21546200.0
2020-06-09,62.99,63.71,62.9,63.04,23594100.0
2020-06-10,62.79,64.29,62.75,63.87,21367800.0
2020-06-11,63.07,63.3,59.52,59.7,26998200.0
2020-06-12,60.11,60.96,58.12,59.33,30404600.0
2020-06-15,59.33,60.36,58.58,60.1,29651700.0
2020-06-16,61.49,61.65,59.49,60.4,23226600.0
2020-06-17,60.74,61.28,60.06,60.49,20442300.0
2020-06-18,60.35,60.51,59.32,60.08,24899699.0
2020-06-19,60.65,60.89,59.1,59.62,60336100.0
2020-06-22,59.73,60.55,58.83,60.09,22846000.0
2020-06-23,60.19,60.47,59.86,59.92,22809600.0
2020-06-24,59.64,59.81,58.67,59.09,27764500.0
2020-06-25,58.98,59.09,57.48,58.51,21906900.0
2020-06-26,58.49,58.73,57.07,57.5,38477500.0
2020-06-29,57.47,58.35,56.76,58.27,22150266.0
2020-06-30,58.71,59.98,58.54,59.83,31542100.0
2020-07-01,59.91,60.03,58.76,58.81,14748100.0
2020-07-02,59.19,59.81,58.97,59.13,15576000.0
2020-07-06,58.72,59.62,58.6,59.54,20536700.0
2020-07-07,59.07,59.57,58.14,58.31,15996500.0
2020-07-08,58.45,58.7,57.93,58.61,13277900.0
2020-07-09,58.2,58.75,57.7,58.42,20683700.0
2020-07-10,57.95,59.69,57.83,59.53,17742300.0
2020-07-13,59.84,60.62,58.39,58.58,19082900.0
2020-07-14,57.87,59.25,57.35,58.98,24190900.0
2020-07-15,59.03,59.34,58.42,59.03,19986300.0
2020-07-16,58.54,59.36,58.4,59.14,12425900.0
2020-07-17,59.42,60.46,59.28,60.0,16322800.0
2020-07-20,60.08,61.38,59.34,61.15,16868700.0
2020-07-21,61.52,61.93,60.44,60.7,19830300.0
2020-07-22,61.31,61.765,60.62,61.05,18959921.0
2020-07-23,61.255,61.74,59.98,60.4,43518551.0
2020-07-24,52.15,52.18,49.5,50.59,182269902.0
2020-07-27,51.03,51.14,49.465,49.57,107526547.0
2020-07-28,49.48,50.23,49.14,49.24,62362611.0
2020-07-29,49.49,49.5,47.9,48.07,60500806.0
2020-07-30,47.83,48.5,47.59,47.99,39735185.0
2020-07-31,48.13,48.3216,46.97,47.73,46569883.0
2020-08-03,48.27,48.6267,47.74,48.3,31767139.0
2020-08-04,48.6,49.14,48.5,49.13,29045836.0
2020-08-05,49.72,49.72,48.66,48.92,29471066.0
2020-08-06,48.79,48.82,48.1,48.57,23795529.0
2020-08-07,48.53,48.65,47.7,48.03,36765228.0
2020-08-10,48.2,49.39,48.06,49.22,37442609.0
2020-08-11,49.63,49.73,48.06,48.19,35348092.0
2020-08-12,48.67,49.26,48.24,49.19,30687169.0
2020-08-13,49.26,49.33,48.385,48.56,24774512.0
2020-08-14,48.73,49.21,48.65,48.89,22321168.0
2020-08-17,49.11,49.305,48.73,48.93,19954578.0
2020-08-18,49.26,49.57,48.62,48.65,19251395.0
2020-08-19,48.785,48.98,48.25,48.33,27774975.0
2020-08-20,49.81,50.2,49.0,49.17,55081342.0
2020-08-21,49.02,49.31,48.65,49.28,34316470.0
2020-08-24,49.26,49.4,48.82,49.14,36295307.0
2020-08-25,49.35,49.88,49.21,49.43,38384329.0
2020-08-26,49.39,49.67,49.23,49.55,28616620.0
2020-08-27,49.79,49.93,49.17,49.4,24420613.0
2020-08-28,49.57,50.8,49.46,50.43,35384684.0
2020-08-31,51.0,51.5,50.32,50.95,46114133.0
2020-09-01,50.91,51.0,50.22,50.79,30522707.0
2020-09-02,51.21,52.68,51.09,52.25,53000730.0
2020-09-03,52.5,52.62,50.135,50.39,47394340.0
2020-09-04,50.53,51.23,49.49,50.08,43318369.0
2020-09-08,49.26,49.9,48.85,48.91,39752694.0
2020-09-09,49.53,49.9684,49.04,49.62,33437273.0
2020-09-10,50.0,50.09,48.71,48.96,32649149.0
2020-09-11,49.2635,50.05,48.95,49.28,29333570.0
2020-09-14,48.85,49.72,48.85,49.41,27212491.0
2020-09-15,49.79,50.6,49.73,50.0,27598263.0
2020-09-16,50.51,51.03,50.165,50.37,26555283.0
2020-09-17,49.37,50.485,49.3,50.32,26959934.0
2020-09-18,50.33,50.5,49.04,49.89,50123495.0
